Temperature,Rainfall,Humidity
21.23620357,74.72816369,81.09988177
38.52142919,66.58241925,42.91583969
31.95981825,35.2307825,54.26477861
27.95975453,121.453334,76.42964458
14.68055921,95.3248321,63.74625412
14.67983561,173.1401985,81.6999727
11.74250837,6.421916096,97.28455309
35.98528437,128.7735855,38.15826814
28.03345035,152.5897757,79.66974015
31.24217733,151.8973138,46.12409089
10.61753483,177.2147934,59.01337092
39.09729556,145.8067486,32.30039081
34.97327922,185.5620123,39.51351676
16.37017332,66.53131996,52.38441023
15.45474902,100.6418834,53.93900637
15.5021353,2.815932657,92.97096515
19.12726729,1.391517461,81.92690365
25.74269295,48.02532409,98.05280777
22.95835056,20.16143943,71.93500572
18.73687421,52.04227359,46.91996125
28.35558684,35.40865891,52.93585209
14.18481582,5.704004968,52.38851463
18.76433946,181.8608293,52.85460294
20.9908553,1.644626278,77.10749212
23.68209953,147.2164289,67.15655497
33.55527884,30.42957738,56.97969247
15.99021346,182.4459244,40.43628381
25.42703315,178.5591879,31.54974141
27.77243707,130.7802293,45.31842743
11.39351238,134.44683,37.52299828
28.22634556,1.067828394,84.98115216
15.11572371,196.9743132,37.87485705
11.95154779,175.5665207,80.69597661
38.46656612,179.0212451,56.99610828
38.96896099,131.8489074,35.13648728
34.25192044,68.95738573,86.89110346
19.13841308,178.7297298,70.57413992
12.93016342,58.30338563,46.5033059
30.5269908,112.5423087,92.6276822
23.20457481,19.94619447,33.16808197
13.66114705,184.391126,44.12737257
24.8553073,28.15409155,82.64328495
11.03165563,44.97936115,79.65645512
37.27961206,111.6268316,50.24901856
17.76339945,152.8186,34.34174127
29.87566853,123.8702612,90.06546506
19.35133228,46.42678256,51.95883466
25.60204064,0.188608505,43.69993904
26.40130838,151.4301161,66.12432757
15.54563367,197.0414652,93.71590395
39.08753883,161.9826241,33.04826045
33.2539847,92.04132363,83.60628616
38.18496825,180.7534523,70.07312596
36.84482051,81.96953462,59.78143816
27.93699936,104.9868168,82.08563109
37.65622705,95.42595348,97.60770971
12.65477506,89.52477453,46.04443478
15.87948587,155.0381539,40.05531556
11.35681867,105.3537815,93.90172217
19.75990992,63.34342441,76.82671542
21.66031869,51.63163353,60.65902151
18.14047095,7.549463393,70.12816992
34.86212527,116.6390324,82.19297336
20.7025998,45.99228308,84.11223291
18.42803529,29.6267844,94.39259266
26.28088249,130.7659928,59.87899522
14.22772675,136.2418516,50.5387637
34.06590942,150.4309785,74.77649868
12.23651931,100.7153793,59.10095295
39.6066081,178.810921,71.62189178
33.16734308,187.2685507,59.39900589
15.96147045,161.474188,40.70970507
10.16566351,127.1186964,62.85987262
34.46384285,60.74419072,78.36424754
31.20572032,196.5889843,85.94986654
31.87021504,54.82723344,64.53283938
33.1381104,40.5313844,41.56665231
12.22133955,88.43082276,59.02813968
20.75397186,11.36811414,85.04057502
13.47607179,195.6988929,58.90014894
35.89310278,117.6867113,78.75715555
28.6989438,111.3904183,65.50495772
19.92694075,131.159256,46.88561876
11.90675051,99.40472956,85.73053556
19.32946965,6.412703419,35.89494178
19.75549966,122.4622578,66.74231979
31.88818535,143.2347754,44.6223724
29.12672414,83.34981212,34.694594
36.61638228,151.4591144,65.2053756
24.16644775,45.40025987,64.96935092
13.58782738,44.25531821,79.48306312
31.39734362,32.28339754,82.13254851
32.82355146,74.39895196,80.94540421
26.83831593,169.4024071,58.6691113
33.1290154,165.5824124,74.21828511
24.81386789,76.56484159,70.38616699
25.68198488,117.8237472,59.50932293
22.82623055,144.1632633,71.80488859
10.7625738,48.24135493,96.30735137
13.23674281,33.62821718,43.50256206
10.94287557,194.4191986,93.4040467
29.09231234,123.5114626,33.74188598
19.43067943,196.2831444,51.5872449
25.25712073,67.55119743,50.1701674
37.22699422,140.60634,73.84555755
17.47876687,44.52072731,39.18574662
22.31148769,52.24003425,91.76433283
32.66653416,102.3804243,87.99859859
16.86394496,63.9236251,75.64460738
12.30939729,33.52431277,62.08896823
18.69254359,52.5761404,95.30692295
14.83663862,7.149678893,88.15225883
37.89092957,140.8847243,64.95206037
34.24361139,98.42333142,79.13113481
29.0021127,18.84861328,69.68509665
36.14381771,34.33879863,71.15595669
34.11016231,20.50690762,53.16832486
15.59710177,122.5185617,62.34592232
36.77676995,18.84207272,35.46850016
26.18026726,150.8564666,55.01440842
34.22320465,4.102183864,78.70799608
36.882739,49.8751576,96.72512214
19.54010425,178.1333352,97.41448789
13.30155774,143.7062636,68.90060084
16.83805488,14.59366659,72.46355763
22.81323366,164.2252209,43.00048299
34.54044298,98.60702431,78.67156757
35.8219175,169.3566054,34.94611549
10.20856392,120.1479549,49.92799801
25.32241908,136.3666064,76.78543431
22.52233009,198.7003121,51.72170921
16.66323431,46.46710918,33.48928119
13.59596102,124.789115,88.23092865
20.12845514,92.06427801,51.7231005
38.28729112,7.890390585,34.41736574
19.69608796,2.894128301,35.23517152
25.56371865,23.84571556,47.62311592
31.09056877,129.8183481,42.46111631
20.90888807,113.4326176,84.20100824
39.15346248,110.6859122,52.51788327
38.87341885,6.371352506,86.32870495
17.55346887,93.86059927,42.16921985
24.91745518,184.9245636,64.50154257
19.02634929,79.51837386,78.16259935
18.54521483,124.984494,75.63935977
11.10660842,155.9637351,72.0790587
28.28693002,156.7850558,94.73751214
25.0803707,103.8560165,45.99676034
11.54436254,171.5903891,64.56034431
18.35939393,78.27561867,91.87947851
37.24797658,177.738643,35.45256359
17.18685672,48.04543328,33.91217878
14.34684616,56.0432814,46.33116013
24.68358281,10.62412484,74.31148537
39.56951362,159.1163673,48.19157385
17.26165815,83.41104725,43.31679187
30.16406642,45.82332278,62.11616208
32.84858846,46.35805552,72.95186481
17.12912632,180.2799882,47.39903949
31.84649046,166.7833201,51.04838307
21.03349398,110.7061771,72.94915134
28.96917492,123.2221601,96.20168954
29.00589132,94.86511411,77.23192092
26.07324052,78.33330858,84.80329005
12.7086931,183.0953762,55.67670663
35.05907487,25.1225407,49.05780516
19.62340195,83.68935794,61.79874202
15.59555531,68.9123816,86.49929801
11.22325425,99.63014405,61.94097493
27.7267883,91.52637491,89.27077862
30.32693086,103.7779063,99.21403865
10.49763487,27.98379545,35.0418666
25.36279175,102.6283003,33.17871093
16.79487326,48.48376278,40.4712792
29.35518371,36.8662698,56.9058773
15.23099287,12.96684376,39.17295464
30.72813214,152.5305118,90.94651343
21.60206039,85.48838417,31.62023757
38.10189966,125.3287367,52.10549014
14.12562832,145.5186687,42.92862406
20.23199053,135.8633331,95.20775311
13.40420564,94.10014382,76.86367034
37.74080855,77.57970579,93.84211795
36.3201806,75.19198193,98.06300972
17.73824883,128.0097594,64.79687706
29.79952138,98.95887099,46.40233756
34.51666601,169.8264496,43.56101503
26.65602435,174.9403969,45.60432032
25.88951735,34.1120756,79.60153153
17.25556873,27.24673031,32.83120097
